rating,poi_id,user_id
5,608897,176785
2,6143672,44554912
2,3519,10233600
4,5437415,73070548
5,5990724,5295200
5,33667492,71997963
2,9423,51205033
3,28069,19647069
2,5435124,76738198
3,5439453,67173021
3,4142,83981512
4,4412,36830202
3,3751,809582
4,9953,866756
2,10185,738782
3,11904,513105
4,6327296,54496174
1,4119,46293441
5,824191,46887935
4,5426140,89618970
3,10160,71710802
5,5985547,19385698
3,5423926,46106611
4,7031887,5086563
5,21599,5014750
5,6331965,46814814
5,5423925,33515842
4,34125,34798894
4,7329,50685151
1,41547,81129782
4,6049933,32078283
5,6627823,57717082
5,3474,1065847
1,6427,46958369
5,7825,63803956
5,6731,70226578
2,5429531,55874624
5,34665,66360656
3,4150,19286627
5,21642,73397572
4,3526,68635850
5,33667436,67196245
5,890032,95108256
4,7915793,57381015
3,6327218,59701594
4,22017,38972289
2,34068,42555791
4,7918161,68320183
5,9956381,65317088
5,9597016,56926010
5,18972,61726430
3,18971,62554518
3,4036,17712202
5,7693277,58178482
2,34070284,77321957
4,611099,176785
5,21324,66168483
3,3747,266064
3,9962,92924245
4,3956,19601110
5,28286,90477669
3,6327204,90192965
5,3535,39867565
4,7650281,19129718
5,7031887,37802094
5,33531032,48546266
5,6930525,83617528
3,5429395,35302065
5,25550981,17572616
5,28286,5104752
5,6327699,19241861
3,7385754,33846711
4,6796690,320420
3,5787235,63181150
3,21315,931861
4,18971,32678460
5,5998479,37959357
3,11616,19687989
3,22017,5361561
3,4840874,71835135
5,15178,44664630
5,27797,91721207
3,3478,10762781
5,5428111,17168927
4,17042,69248452
3,3563,866065
5,7928459,47943768
3,6005387,93514545
5,5429611,81123098
4,28081,49756950
5,30210,19339208
4,7329,74671323
3,872794,41608243
2,4142,35864957
3,6627768,93127427
3,3561,754374
5,1127,68533907
4,6325665,61805926
4,5423933,56604936
5,5426233,71881585
4,6151569,64101521
5,7559346,43731399
2,6325921,35436607
5,73866216,37295160
5,5435130,76986372
5,6329731,4436729
3,5401745,10403306
2,21606,38093518
4,3516,49224399
3,6329078,42704274
4,3265,50891966
5,8475837,45675674
3,3783,93723697
4,5433478,5373246
4,3415,19190967
3,6329081,17304310
4,34011,49481528
4,4874,888517
4,5440368,5570804
3,15187,87109281
1,3506,40708344
3,827688,5294136
4,17737,269559
3,7446,61579404
2,29996,58896493
3,6005667,57263121
1,3936,19783952
4,5426856,41489207
5,3986,66579839
5,11603,85280670
5,9597016,54913733
2,3511,89143955
1,21098,56455344
5,28136,33832394
5,6326950,70893623
3,6302266,77919780
3,5427806,93843377
5,4142,88788283
5,6103600,52219005
5,6628992,62883322
4,5429531,17462325
5,7972,50363398
4,5870965,5093609
3,407,44456359
5,11156,88931219
3,5426891,47752124
5,835246,488249
2,7731162,50473920
4,6323155,168688
4,33605676,17531357
3,8338472,70636640
5,33531320,896556
5,4154,55012395
3,18972,17293750
1,33581360,76013117
3,3537,17762614
3,6588495,5453896
3,78074,15807529
2,6628602,10824256
4,6053364,93027865
5,5439453,48290628
5,21644,66486161
4,17503,813333
2,5435449,47850503
5,7896236,19929787
3,7781,87415498
4,21303,48433086
4,9951,47172634
4,25550981,86813308
1,3560,79001576
4,77943,37634626
3,6325658,38463710
5,11305986,85984206
3,6627868,34697500
3,7381,70080111
5,3357,34893246
3,7399439,61144704
3,26315,30120592
4,21933,17205568
3,29308,59792922
3,4052,51893169
5,27776,76919998
5,3515,88868795
3,5438048,61062670
5,824191,66764383
5,6325532,89197784
1,5877224,58786779
5,3783,76434906
5,6559394,30228112
2,10160,75131582
4,28119,59172483
3,6852630,876359
4,29314,5640870
5,3955,32760143
3,3936,86207772
5,6852630,36953718
3,3466,94268283
5,6618,19425255
5,27282,71175034
4,6625884,80096886
4,9535,85517253
4,3506,55062595
4,21644,17236981
3,34011,30261566
5,16276,82506642
2,102620,59522276
3,10047,42163662
1,6731,77048177
5,9005091,52456519
4,30150,343900
3,4119,38037666
4,6923,32327076
4,3731,66365306
5,5989708,62712277
5,7081178,61711095
5,6627968,93950516
5,34193,60374206
4,15176,19315792
3,26316,92541319
5,6924,46684213
3,4412,74195886
5,5429582,66632953
2,21642,76274598
1,5423926,48526549
4,6375775,92730259
5,15178,45216853
4,3500,46982685
5,5427754,89636518
4,5428111,17474172
4,5426613,57277898
2,22017,63389395
3,34003,5451212
3,3499,54424378
